,Time,Symbol,Open,High,Low,Close,Volume,Supertrend,Polaridad,DEMA800,Half-Order,Profit,Stoploss-Reached,Exit-Price,ATR,ADX,P&L
90,2022-03-15 10:00:00-05:00,XRPUSDT,0.7615,0.7642,0.7609,0.7642,3181823.0,0.7482578216663931,Buy,0.7625784,True,False,False,0.7642,0.0049314702412581,29.952641515475324,0.0860999999999998
91,2022-03-18 11:00:00-05:00,XRPUSDT,0.7866,0.7913,0.7861,0.7911,4054197.0,0.7758031674558407,Buy,0.7753165,True,True,False,0.8079,0.0041935510315828,19.038033033123668,0.3170999999999992
92,2022-03-21 04:30:00-05:00,XRPUSDT,0.8086,0.8139,0.8086,0.8136,2662736.0,0.7976428883787109,Buy,0.7947324,True,False,False,0.8136,0.0046173330176691,26.22229217903028,0.1246000000000002
96,2022-03-27 11:00:00-05:00,XRPUSDT,0.8374,0.848,0.8354,0.8458,9005337.0,0.8274053750872066,Buy,0.8364328,True,True,False,0.8645,0.0039334444634291,23.876730676423698,0.2478000000000007
99,2022-04-05 19:00:00-05:00,XRPUSDT,0.8169,0.818,0.7772,0.7962,35329517.0,0.8265825616667735,Sell,0.8473014,True,True,False,0.7874,0.007246684920064,16.52906719691965,0.2534
101,2022-04-10 17:00:00-05:00,XRPUSDT,0.7609,0.7619,0.757,0.7583,5369358.0,0.7716925802428896,Sell,0.7938844,True,True,False,0.7177,0.0035622987847767,21.90631526674057,0.3345999999999997
102,2022-04-12 13:00:00-05:00,XRPUSDT,0.7058,0.7059,0.697,0.6987,2879356.0,0.7188759792367563,Sell,0.762133,False,False,True,0.7188759792367563,0.0057189338376851,20.96148530040032,-0.2869999999999995
103,2022-04-13 06:30:00-05:00,XRPUSDT,0.7103,0.7106,0.7037,0.7048,2561516.0,0.7215407124482159,Sell,0.7518164,False,False,True,0.7215407124482159,0.004943486589489,17.59503177040424,-0.2254
104,2022-04-14 04:00:00-05:00,XRPUSDT,0.7331,0.7331,0.7235,0.7253,4472722.0,0.7421174810298122,Sell,0.7438762,True,False,False,0.7253,0.0042795801253177,30.46406523284813,0.1112999999999993
106,2022-04-18 12:00:00-05:00,XRPUSDT,0.7446,0.756,0.7446,0.7499,12759726.0,0.7297565501149481,Buy,0.7478648,True,True,False,0.7639,0.0063245599477729,21.896342590561936,0.2554999999999998
107,2022-04-21 07:00:00-05:00,XRPUSDT,0.7557,0.7583,0.7546,0.7572,4465794.0,0.7433680545574126,Buy,0.7499393,False,False,True,0.7433680545574126,0.0042151217565619,21.787261281293723,-0.3220000000000003
109,2022-04-26 01:30:00-05:00,XRPUSDT,0.6863,0.6878,0.682,0.6835,4108278.0,0.6997892536832585,Sell,0.7087006,True,True,False,0.6618,0.0051092681233085,32.45155496076073,0.2806999999999994
110,2022-04-27 06:00:00-05:00,XRPUSDT,0.6499,0.6501,0.6396,0.6429,7536211.0,0.6627545109879501,Sell,0.6917061,True,True,False,0.6264,0.00595447496843,36.06851069351729,0.2954000000000009
111,2022-04-30 09:30:00-05:00,XRPUSDT,0.6164,0.6173,0.6092,0.61,7334184.0,0.6273979607678686,Sell,0.6482122,True,True,False,0.6038,0.0043699719501375,15.021326593609857,0.2394
112,2022-05-01 14:00:00-05:00,XRPUSDT,0.5996,0.6005,0.5935,0.5936,5808664.0,0.6140706487914138,Sell,0.6289233,False,False,True,0.6140706487914138,0.0054023925098861,27.42928344279547,-0.2660000000000002
113,2022-05-02 06:00:00-05:00,XRPUSDT,0.6146,0.6161,0.6099,0.6102,7771205.0,0.6292206809945318,Sell,0.6226571,False,True,False,0.6032,0.0053986858440328,30.034124058118746,0.098
115,2022-05-03 13:00:00-05:00,XRPUSDT,0.6089,0.6089,0.6028,0.6032,6972643.0,0.6189718144500588,Sell,0.6127491,False,False,True,0.6189718144500588,0.0042590364524436,14.93340557085738,-0.2127999999999998
120,2022-05-13 13:00:00-05:00,XRPUSDT,0.4221,0.4238,0.4178,0.4188,6231707.0,0.446153009165692,Sell,0.4680371,False,False,True,0.446153009165692,0.0091864199895082,27.646712442252507,-0.3681999999999998
124,2022-05-21 13:30:00-05:00,XRPUSDT,0.4151,0.4167,0.4149,0.4165,676940.0,0.4085722964721548,Buy,0.3861264,True,True,False,0.4176,0.0026261387610031,22.253519405010984,0.0518000000000005
128,2022-05-29 07:00:00-05:00,XRPUSDT,0.3858,0.3906,0.3857,0.3885,9818067.0,0.382310364169009,Buy,0.3641163,True,True,False,0.4104,0.0018620518309138,17.09750202421717,0.1952999999999998
130,2022-06-04 19:00:00-05:00,XRPUSDT,0.3924,0.3943,0.3916,0.3936,5773309.0,0.3876578571805666,Buy,0.373071,True,True,False,0.3989,0.0018013822917598,16.61984001760253,0.0713999999999999
135,2022-06-14 23:00:00-05:00,XRPUSDT,0.3131,0.3133,0.3066,0.3075,16894419.0,0.3228487117337698,Sell,0.3400808,False,False,True,0.3228487117337698,0.00441866064412,11.442542321096482,-0.1707999999999998
136,2022-06-16 02:30:00-05:00,XRPUSDT,0.3284,0.3284,0.3231,0.3237,6153308.0,0.3387238244620493,Sell,0.3308584,True,False,False,0.3237,0.0049313532280716,27.359917426323523,0.0965999999999998
138,2022-06-17 07:30:00-05:00,XRPUSDT,0.3255,0.3262,0.3217,0.3224,7045761.0,0.3363192256180839,Sell,0.3236481,True,True,False,0.3114,0.0044186428418879,21.540289018212626,0.1617
140,2022-06-22 20:00:00-05:00,XRPUSDT,0.3276,0.3299,0.3261,0.3288,3774454.0,0.3181423577797926,Buy,0.3073649,True,True,False,0.3621,0.0030544431728826,14.208910530035109,0.3381
141,2022-06-24 16:30:00-05:00,XRPUSDT,0.3673,0.3706,0.3665,0.3699,3237397.0,0.3537914209443211,Buy,0.3165418,False,False,True,0.3537914209443211,0.0051196562471777,25.86609696269272,-0.2211999999999997
142,2022-06-25 16:00:00-05:00,XRPUSDT,0.3614,0.3674,0.361,0.3673,5776516.0,0.3540164124191337,Buy,0.324122,False,False,True,0.3540164124191337,0.0034761492853625,26.491361705112347,-0.2254
144,2022-07-03 08:30:00-05:00,XRPUSDT,0.3113,0.3115,0.3093,0.3099,4842124.0,0.3146298280272084,Sell,0.3183828,False,False,True,0.3146298280272084,0.001538152777345,27.49011560887187,-0.0741999999999996
145,2022-07-03 22:00:00-05:00,XRPUSDT,0.3177,0.3178,0.3162,0.3165,3702666.0,0.3254413263177257,Sell,0.3173524,False,False,True,0.3254413263177257,0.0025921285509887,29.02979553051848,-0.1007999999999997
149,2022-07-13 16:30:00-05:00,XRPUSDT,0.3188,0.3247,0.3186,0.3222,9240401.0,0.3122943006361083,Buy,0.3194149,False,False,True,0.3122943006361083,0.0031235708455424,17.945558263085253,-0.098
151,2022-07-14 10:30:00-05:00,XRPUSDT,0.3179,0.321,0.3167,0.3207,7800488.0,0.3104499291007163,Buy,0.3185079,True,True,False,0.3294,0.0026102779383704,21.873821163980757,0.1316000000000002
154,2022-07-19 07:30:00-05:00,XRPUSDT,0.36,0.3646,0.3599,0.3645,5549862.0,0.3530276201689684,Buy,0.3394581,True,True,False,0.369,0.0032632643931051,13.917373639691036,0.098
155,2022-07-21 11:00:00-05:00,XRPUSDT,0.3528,0.3594,0.3525,0.3589,7746521.0,0.3460433578828131,Buy,0.3508838,False,True,False,0.3614,0.0032333819170305,25.57788151190573,0.035
156,2022-07-23 17:00:00-05:00,XRPUSDT,0.3543,0.3586,0.3543,0.3584,1921164.0,0.3487625016318446,Buy,0.3563835,False,False,True,0.3487625016318446,0.002429567300214,27.977626944792608,-0.1511999999999996
160,2022-08-01 20:00:00-05:00,XRPUSDT,0.3801,0.3944,0.3799,0.3864,28603476.0,0.3740461496242636,Buy,0.3734565,False,False,True,0.3740461496242636,0.0036571158354355,23.42115074212966,-0.2086000000000003
162,2022-08-02 11:30:00-05:00,XRPUSDT,0.3772,0.3778,0.3754,0.3777,4698825.0,0.3653277358588884,Buy,0.3740642,False,False,True,0.3653277358588884,0.0036227324776669,13.26794852996508,-0.1539999999999993
